anio,mes,fecha_referencia,bici,mins_viaje,hrs_viaje,dias_viaje,distancia_approx
2022,Agosto,2022-08-31,200-6807,3931,65.5166666666667,2.72986111111111,1048.2666666666669
2022,Agosto,2022-08-31,202-2705,4486,74.7666666666667,3.11527777777778,1196.2666666666669
2022,Agosto,2022-08-31,203-1300,1601,26.6833333333333,1.11180555555556,426.93333333333334
2022,Agosto,2022-08-31,203-3454,10118,168.633333333333,7.02638888888889,2698.133333333333
2022,Agosto,2022-08-31,205-3031,5924,98.7333333333333,4.11388888888889,1579.7333333333331
2022,Agosto,2022-08-31,206-0895,4475,74.5833333333333,3.10763888888889,1193.3333333333333
2022,Agosto,2022-08-31,206-3758,6844,114.066666666667,4.75277777777778,1825.0666666666664
2022,Agosto,2022-08-31,206-5795,5712,95.2,3.96666666666667,1523.2
2022,Agosto,2022-08-31,209-9497,4803,80.05,3.33541666666667,1280.8
2022,Agosto,2022-08-31,210-0857,6391,106.516666666667,4.43819444444444,1704.2666666666669
2022,Agosto,2022-08-31,210-8439,4215,70.25,2.92708333333333,1124
2022,Agosto,2022-08-31,212-8668,6339,105.65,4.40208333333333,1690.4
2022,Agosto,2022-08-31,214-9425,5208,86.8,3.61666666666667,1388.8
2022,Agosto,2022-08-31,215-6263,3039,50.65,2.11041666666667,810.4
2022,Agosto,2022-08-31,217-1460,2161,36.0166666666667,1.50069444444444,576.2666666666667
2022,Agosto,2022-08-31,219-8596,1795,29.9166666666667,1.24652777777778,478.6666666666667
2022,Agosto,2022-08-31,221-3205,2719,45.3166666666667,1.88819444444444,725.0666666666667
2022,Agosto,2022-08-31,221-6190,4698,78.3,3.2625,1252.8
2022,Agosto,2022-08-31,225-2534,3455,57.5833333333333,2.39930555555556,921.3333333333331
2022,Agosto,2022-08-31,225-9042,6041,100.683333333333,4.19513888888889,1610.9333333333334
2022,Agosto,2022-08-31,227-7713,10380,173,7.20833333333333,2768
2022,Agosto,2022-08-31,228-3828,7024,117.066666666667,4.87777777777778,1873.0666666666664
2022,Agosto,2022-08-31,228-9809,4390,73.1666666666667,3.04861111111111,1170.6666666666667
2022,Agosto,2022-08-31,230-4806,4195,69.9166666666667,2.91319444444444,1118.6666666666667
2022,Agosto,2022-08-31,230-5415,2264,37.7333333333333,1.57222222222222,603.7333333333333
2022,Agosto,2022-08-31,231-1322,7842,130.7,5.44583333333333,2091.2
2022,Agosto,2022-08-31,231-5224,6242,104.033333333333,4.33472222222222,1664.5333333333333
2022,Agosto,2022-08-31,232-0075,7109,118.483333333333,4.93680555555556,1895.7333333333331
2022,Agosto,2022-08-31,232-8193,3465,57.75,2.40625,924
2022,Agosto,2022-08-31,233-1767,5726,95.4333333333333,3.97638888888889,1526.9333333333334
2022,Agosto,2022-08-31,234-4323,4882,81.3666666666667,3.39027777777778,1301.8666666666666
2022,Agosto,2022-08-31,235-0478,1083,18.05,0.752083333333333,288.8
2022,Agosto,2022-08-31,235-9453,5183,86.3833333333333,3.59930555555556,1382.1333333333334
2022,Agosto,2022-08-31,236-6243,4919,81.9833333333333,3.41597222222222,1311.7333333333331
2022,Agosto,2022-08-31,237-5194,5030,83.8333333333333,3.49305555555556,1341.3333333333333
2022,Agosto,2022-08-31,237-9345,4948,82.4666666666667,3.43611111111111,1319.4666666666667
2022,Agosto,2022-08-31,239-0227,1342,22.3666666666667,0.931944444444444,357.8666666666667
2022,Agosto,2022-08-31,240-1610,2850,47.5,1.97916666666667,760
2022,Agosto,2022-08-31,242-4299,2390,39.8333333333333,1.65972222222222,637.3333333333334
2022,Agosto,2022-08-31,243-0429,1873,31.2166666666667,1.30069444444444,499.4666666666667
2022,Agosto,2022-08-31,243-1278,2877,47.95,1.99791666666667,767.1999999999999
2022,Agosto,2022-08-31,243-4967,5240,87.3333333333333,3.63888888888889,1397.3333333333333
2022,Agosto,2022-08-31,243-9107,5717,95.2833333333333,3.97013888888889,1524.5333333333333
2022,Agosto,2022-08-31,245-1995,5311,88.5166666666667,3.68819444444444,1416.2666666666669
2022,Agosto,2022-08-31,245-9220,4774,79.5666666666667,3.31527777777778,1273.0666666666666
2022,Agosto,2022-08-31,246-0921,2644,44.0666666666667,1.83611111111111,705.0666666666666
2022,Agosto,2022-08-31,247-1423,5933,98.8833333333333,4.12013888888889,1582.1333333333334
2022,Agosto,2022-08-31,247-3213,3256,54.2666666666667,2.26111111111111,868.2666666666667
2022,Agosto,2022-08-31,248-5936,4045,67.4166666666667,2.80902777777778,1078.6666666666667
2022,Agosto,2022-08-31,249-4516,3012,50.2,2.09166666666667,803.1999999999999
2022,Agosto,2022-08-31,249-9283,5551,92.5166666666667,3.85486111111111,1480.2666666666669
2022,Agosto,2022-08-31,252-8552,5401,90.0166666666667,3.75069444444444,1440.2666666666669
2022,Agosto,2022-08-31,253-7306,431,7.18333333333333,0.299305555555556,114.93333333333334
2022,Agosto,2022-08-31,254-4187,6669,111.15,4.63125,1778.4
2022,Agosto,2022-08-31,255-5605,3283,54.7166666666667,2.27986111111111,875.4666666666667
2022,Agosto,2022-08-31,256-9804,5662,94.3666666666667,3.93194444444444,1509.8666666666666
2022,Agosto,2022-08-31,257-0778,564,9.4,0.391666666666667,150.4
2022,Agosto,2022-08-31,257-1578,5104,85.0666666666667,3.54444444444444,1361.0666666666666
2022,Agosto,2022-08-31,257-4770,372,6.2,0.258333333333333,99.2
2022,Agosto,2022-08-31,258-6121,2088,34.8,1.45,556.8
2022,Agosto,2022-08-31,259-0016,2746,45.7666666666667,1.90694444444444,732.2666666666667
2022,Agosto,2022-08-31,259-0552,2680,44.6666666666667,1.86111111111111,714.6666666666666
2022,Agosto,2022-08-31,263-0614,1988,33.1333333333333,1.38055555555556,530.1333333333333
2022,Agosto,2022-08-31,265-1230,5172,86.2,3.59166666666667,1379.2
2022,Agosto,2022-08-31,265-7914,7120,118.666666666667,4.94444444444444,1898.6666666666663
2022,Agosto,2022-08-31,265-9779,3121,52.0166666666667,2.16736111111111,832.2666666666667
2022,Agosto,2022-08-31,268-2136,3156,52.6,2.19166666666667,841.6
2022,Agosto,2022-08-31,268-4868,3492,58.2,2.425,931.2
2022,Agosto,2022-08-31,271-1778,8074,134.566666666667,5.60694444444444,2153.0666666666666
2022,Agosto,2022-08-31,271-5498,10802,180.033333333333,7.50138888888889,2880.5333333333333
2022,Agosto,2022-08-31,271-6710,5066,84.4333333333333,3.51805555555556,1350.9333333333334
2022,Agosto,2022-08-31,273-7070,6529,108.816666666667,4.53402777777778,1741.0666666666666
2022,Agosto,2022-08-31,274-6360,3830,63.8333333333333,2.65972222222222,1021.3333333333334
2022,Agosto,2022-08-31,274-8218,4549,75.8166666666667,3.15902777777778,1213.0666666666666
2022,Agosto,2022-08-31,274-8994,7212,120.2,5.00833333333333,1923.2
2022,Agosto,2022-08-31,276-4900,3468,57.8,2.40833333333333,924.8
2022,Agosto,2022-08-31,276-5667,5212,86.8666666666667,3.61944444444444,1389.8666666666666
2022,Agosto,2022-08-31,276-9024,6438,107.3,4.47083333333333,1716.8
2022,Agosto,2022-08-31,277-5641,5045,84.0833333333333,3.50347222222222,1345.3333333333333
2022,Agosto,2022-08-31,280-5331,4163,69.3833333333333,2.89097222222222,1110.1333333333332
2022,Agosto,2022-08-31,280-8731,5917,98.6166666666667,4.10902777777778,1577.8666666666666
2022,Agosto,2022-08-31,281-1719,4593,76.55,3.18958333333333,1224.8
2022,Agosto,2022-08-31,282-5875,8982,149.7,6.2375,2395.2
2022,Agosto,2022-08-31,282-9620,4973,82.8833333333333,3.45347222222222,1326.1333333333332
2022,Agosto,2022-08-31,284-3118,2078,34.6333333333333,1.44305555555556,554.1333333333333
2022,Agosto,2022-08-31,284-4637,3297,54.95,2.28958333333333,879.2
2022,Agosto,2022-08-31,285-0931,10399,173.316666666667,7.22152777777778,2773.0666666666666
2022,Agosto,2022-08-31,286-4056,5210,86.8333333333333,3.61805555555556,1389.3333333333333
2022,Agosto,2022-08-31,289-3022,4867,81.1166666666667,3.37986111111111,1297.8666666666666
2022,Agosto,2022-08-31,290-2179,3088,51.4666666666667,2.14444444444444,823.4666666666667
2022,Agosto,2022-08-31,290-9869,3886,64.7666666666667,2.69861111111111,1036.2666666666669
2022,Agosto,2022-08-31,292-7937,5822,97.0333333333333,4.04305555555556,1552.5333333333333
2022,Agosto,2022-08-31,293-8223,9033,150.55,6.27291666666667,2408.8
2022,Agosto,2022-08-31,294-5210,4720,78.6666666666667,3.27777777777778,1258.6666666666667
2022,Agosto,2022-08-31,294-8776,6659,110.983333333333,4.62430555555556,1775.7333333333331
2022,Agosto,2022-08-31,295-8197,4301,71.6833333333333,2.98680555555556,1146.9333333333334
2022,Agosto,2022-08-31,297-6322,9647,160.783333333333,6.69930555555556,2572.5333333333333
2022,Agosto,2022-08-31,299-0125,183,3.05,0.127083333333333,48.8
2022,Agosto,2022-08-31,299-4200,622,10.3666666666667,0.431944444444444,165.86666666666667
2022,Agosto,2022-08-31,299-6536,2558,42.6333333333333,1.77638888888889,682.1333333333333
2022,Agosto,2022-08-31,301-9684,7829,130.483333333333,5.43680555555556,2087.733333333333
2022,Agosto,2022-08-31,302-5087,4522,75.3666666666667,3.14027777777778,1205.8666666666668
2022,Agosto,2022-08-31,302-6861,3148,52.4666666666667,2.18611111111111,839.4666666666667
2022,Agosto,2022-08-31,303-5680,10499,174.983333333333,7.29097222222222,2799.733333333333
2022,Agosto,2022-08-31,303-6936,5014,83.5666666666667,3.48194444444444,1337.0666666666666
2022,Agosto,2022-08-31,303-9039,6755,112.583333333333,4.69097222222222,1801.3333333333333
2022,Agosto,2022-08-31,306-7105,7575,126.25,5.26041666666667,2020
2022,Agosto,2022-08-31,308-0512,2744,45.7333333333333,1.90555555555556,731.7333333333333
2022,Agosto,2022-08-31,308-3789,7723,128.716666666667,5.36319444444444,2059.4666666666667
2022,Agosto,2022-08-31,310-6630,4603,76.7166666666667,3.19652777777778,1227.4666666666667
2022,Agosto,2022-08-31,311-9872,6677,111.283333333333,4.63680555555556,1780.5333333333333
2022,Agosto,2022-08-31,312-7966,3703,61.7166666666667,2.57152777777778,987.4666666666668
2022,Agosto,2022-08-31,316-3557,6843,114.05,4.75208333333333,1824.8
2022,Agosto,2022-08-31,317-8902,6496,108.266666666667,4.51111111111111,1732.2666666666669
2022,Agosto,2022-08-31,318-8802,6940,115.666666666667,4.81944444444444,1850.6666666666667
2022,Agosto,2022-08-31,320-3387,5868,97.8,4.075,1564.8
2022,Agosto,2022-08-31,320-8584,6154,102.566666666667,4.27361111111111,1641.0666666666666
2022,Agosto,2022-08-31,321-7833,6046,100.766666666667,4.19861111111111,1612.2666666666669
2022,Agosto,2022-08-31,322-7113,6431,107.183333333333,4.46597222222222,1714.9333333333334
2022,Agosto,2022-08-31,323-5702,2566,42.7666666666667,1.78194444444444,684.2666666666667
2022,Agosto,2022-08-31,323-7971,6906,115.1,4.79583333333333,1841.6
2022,Agosto,2022-08-31,325-5205,3773,62.8833333333333,2.62013888888889,1006.1333333333332
2022,Agosto,2022-08-31,325-8811,3488,58.1333333333333,2.42222222222222,930.1333333333332
2022,Agosto,2022-08-31,327-1228,4347,72.45,3.01875,1159.2
2022,Agosto,2022-08-31,328-2498,5405,90.0833333333333,3.75347222222222,1441.3333333333333
2022,Agosto,2022-08-31,328-5368,6272,104.533333333333,4.35555555555556,1672.5333333333333
2022,Agosto,2022-08-31,328-5871,3380,56.3333333333333,2.34722222222222,901.3333333333334
2022,Agosto,2022-08-31,329-7082,3184,53.0666666666667,2.21111111111111,849.0666666666667
2022,Agosto,2022-08-31,330-8814,2131,35.5166666666667,1.47986111111111,568.2666666666667
2022,Agosto,2022-08-31,330-9275,966,16.1,0.670833333333333,257.6
2022,Agosto,2022-08-31,331-4291,2661,44.35,1.84791666666667,709.6
2022,Agosto,2022-08-31,331-4309,5668,94.4666666666667,3.93611111111111,1511.4666666666667
2022,Agosto,2022-08-31,332-7152,8893,148.216666666667,6.17569444444444,2371.4666666666667
2022,Agosto,2022-08-31,333-8498,3803,63.3833333333333,2.64097222222222,1014.1333333333332
2022,Agosto,2022-08-31,334-8968,6526,108.766666666667,4.53194444444444,1740.2666666666669
2022,Agosto,2022-08-31,335-0139,7364,122.733333333333,5.11388888888889,1963.7333333333331
2022,Agosto,2022-08-31,336-0260,3571,59.5166666666667,2.47986111111111,952.2666666666668
2022,Agosto,2022-08-31,336-3546,4287,71.45,2.97708333333333,1143.2
2022,Agosto,2022-08-31,338-0177,3124,52.0666666666667,2.16944444444444,833.0666666666667
2022,Agosto,2022-08-31,338-1134,4863,81.05,3.37708333333333,1296.8
2022,Agosto,2022-08-31,339-1125,4653,77.55,3.23125,1240.8
2022,Agosto,2022-08-31,341-9835,4549,75.8166666666667,3.15902777777778,1213.0666666666666
2022,Agosto,2022-08-31,342-3498,1021,17.0166666666667,0.709027777777778,272.26666666666665
2022,Agosto,2022-08-31,346-2942,1494,24.9,1.0375,398.4
2022,Agosto,2022-08-31,348-7188,8964,149.4,6.225,2390.4
2022,Agosto,2022-08-31,351-3876,1902,31.7,1.32083333333333,507.2
2022,Agosto,2022-08-31,351-6234,4655,77.5833333333333,3.23263888888889,1241.3333333333333
2022,Agosto,2022-08-31,354-9029,2933,48.8833333333333,2.03680555555556,782.1333333333333
